#lost,#lost_obs,#lost_obs_strong,#lost_strong,%lost,%lost_obs,%lost_obs_strong,%lost_strong,A00,DN,DN_obs,DN_obs_strong,DN_strong,DNtot,K0,N0,N0_strong,Nmean,Nmedian,S,S*,U,Umean,V,W,alpha0,community,f0alone,f0alone_obs,f0fixed,f0fixed_obs,f0true,f0true_obs,gamma,ginv,lost,lost_obs,lost_obs_strong,lost_strong,max_AAT,minv,mu,phi,prmidx,r0alone,r0alone_obs,r0true,r0true_obs,relDNmed,relDNmed_obs,relDNmed_obs_strong,relDNmed_strong,relDNnorm,relDNnorm_obs,relDNnorm_obs_strong,relDNnorm_strong,relweiDN,relweiDN_obs,relweiDN_obs_strong,relweiDN_strong,resisted,resisted_strong,sigma,sinv,sumtraceratio,vsum,vtrace,weiDN,weiDN_obs,weiDN_obs_strong,weiDN_strong,weiN,weiN_obs,weiN_obs_strong,weiN_strong,worst,worstA0i_IPR,worstA0i_mean,worstA0i_std,worstAi0_IPR,worstAi0_mean,worstAi0_std,worstgamma0,worstinv
0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.019426075515275323,0.015292533889262452,0.015292529198887392,0.01942607341594023,0.07077008054197492,-0.0330870692903694,0.06805168543094607,0.06805168528695905,0.30457073433067317,0.15206929735211086,20,17,0.7558024355817081,0.46785744508162286,1.3230970858546436,0.5554432806676071,1.0,3,-1.0,-1.0,-1.0,-0.8775357983711369,-0.7558024355817081,-0.7558024355817081,0.0,0.7,[],[],[],[],0.2166412951163744,-0.00477528554058687,5.0,0.85,1,-0.0330870692903694,-0.06842121611195423,0.5554432806676071,0.5554432806676071,-0.038263416387796956,-0.05008914594060199,-0.05008914584199137,-0.03826341631796504,0.2398220839973987,0.2151025424192054,0.21510196324350803,0.23982206655898022,0.010028443588961745,0.010028443588961745,0.010028443588961745,0.010028443588961745,False,False,0.8,0.26639121287387013,0.00032524154392499303,7.587419312735377,10.709000340848984,-0.00596183130386318,-0.004845043239921981,-0.004845042351224608,-0.005961831804514123,-0.5944921812618397,-0.44089858247456776,-0.4408985815858703,-0.5944921817624905,1.0000000000000002,0.3372377969692785,0.017440423452988768,0.24190775316542687,0.3372377969692788,0.01744042345298884,0.24190775316542695,1.0,0.05359778243436064
0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.518634008504125e-07,1.7411225320690064e-07,1.8617359064567125e-07,5.773826074155236e-07,6.518640221459269e-07,0.0806710833724954,9.000000000000001e-10,9.000000000000001e-10,0.30457073433067317,0.15206929735211086,20,17,0.9454661930135395,0.9542785188589372,1.057679277576961,0.13141762389662806,1.0,3,-1.0,-1.0,-1.0,-0.9768842682598499,-0.9454661930135395,-0.9454661930135395,0.0,0.7,[],[],[],[],0.023986617878593002,0.012830170360637327,5.0,0.85,1,0.0806710833724954,0.10102622542568562,0.13141762389662806,0.13141762389662806,-0.009916282738004045,-0.006547330789947237,-0.006547331475047935,-0.009916938935631725,0.2019472068020256,0.16528740449059937,0.16528791079620814,0.2019474576528509,9.45227721297987e-07,9.45227721297987e-07,9.45227721297987e-07,9.45227721297987e-07,True,True,0.8,0.07702332149074118,0.02808455026363919,7.587419312735377,10.709000340848984,-4.796708220319767e-08,-1.1066532793303529e-08,-1.0014321111473618e-08,3.726497981202478e-08,-0.050746588491214856,0.0587639587631181,0.05876395981532978,-0.05074650325915286,1.0000000000000002,0.3372377969692785,0.017440423452988768,0.24190775316542687,0.3372377969692788,0.01744042345298884,0.24190775316542695,1.0,0.8811443417225314
0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03931149333043918,0.0349482295719854,0.03494823078933061,0.039311492697476025,0.15717429696333804,-0.0330870692903694,0.152178730833354,0.15217873082011635,0.30457073433067317,0.15206929735211086,20,17,-3.027386563818463,-0.42909231348521115,-0.33031790916674125,-0.1462115486177041,2.006834961778986,3,-1.0,-1.0,-1.0,0.5587035147128523,3.027386563818463,3.027386563818463,0.0,0.7,[],[],[],[],1.6478801377972396,-0.006016454416450212,5.0,0.85,1,-0.0330870692903694,0.16368194705149508,-0.1462115486177041,-0.1462115486177041,-0.06535116687943499,-0.06855251621981717,-0.06855251660411255,-0.06535116691837839,0.33468238206296613,0.32679717952253134,0.3267972461703265,0.33468240684688866,-1.3743767520405952,-1.3743767520405952,-1.3743767520405952,-1.3743767520405952,False,False,0.8,0.436581088607654,0.00019221998350316168,7.587419312735377,10.709000340848984,-0.0654806168989677,-0.05933076164788318,-0.05933076247063298,-0.0654806161708522,0.047643862428366796,-0.49335724365228384,-0.49335724447503354,0.04764386315648256,1.0000000000000002,0.3372377969692785,0.017440423452988768,0.24190775316542687,0.3372377969692788,0.01744042345298884,0.24190775316542695,1.0,-5.922374036261895
1,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.07491775912322356,0.059069294265898416,0.05906930239691926,0.07491778427342215,0.14942496901737348,-0.014156828892072173,0.1292870864928036,0.12928708373475242,0.14898835785893164,0.07026936606420024,20,15,-0.5268504911074479,-0.5406095725411,-1.8980716861399989,0.1897585679466434,1.2356579183202152,4,-1.0,-1.0,-1.0,-0.15807358243182068,0.5268504911074479,0.5268504911074479,0.0,0.7,[14],[9],[9],[14],0.666417703515776,-0.0064972511070650225,5.0,0.75,1,-0.014156828892072173,-0.3574118288111104,0.1897585679466434,0.1897585679466434,-0.15011707111107697,-0.16092073434402537,-0.16092069539917742,-0.15011699063372752,0.38880646804642033,0.39926190178953364,0.39926195325943,0.3888067548390319,0.25092528531829084,0.25092528531829084,0.25092528531829084,0.25092528531829084,False,False,0.8,0.4907268854820874,0.00026511679064454026,9.672871061683342,9.136917925959978,-0.06830764425720723,-0.04321885971298386,-0.04321884184817244,-0.0683076590321874,-0.27222304109592277,-0.3015447479474033,-0.30154473008259197,-0.272223055870903,1.0000000000000002,0.3867740145677476,0.017671883109502667,0.25759342230350274,0.38677401456774796,0.017671883109502684,0.2575934223035028,0.9999999999999998,-3.555887717541096
1,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.046959820685401124,0.03516018857976129,0.03516019602944266,0.04695982629649822,0.12285892309852317,-0.014156828892072173,0.11353012915576113,0.11353012829495258,0.14898835785893164,0.07026936606420024,20,15,-0.2850102888754731,-0.28851152563745264,-3.5086452631081007,-0.0929035680721814,1.133582943094802,4,-1.0,-1.0,-1.0,-1.0279046511086931,0.2850102888754731,0.2850102888754731,0.0,0.7,[14],[9],[9],[14],0.7231531809760695,-0.00608320328955387,5.0,0.75,1,-0.014156828892072173,0.0684668484171393,-0.0929035680721814,-0.0929035680721814,-0.0933989678477557,-0.08416495767260057,-0.08416495735514329,-0.09339896975360551,0.3743970380087079,0.43406494650798927,0.43406500840344925,0.3743970888221246,-1.2706095262459776,-1.2706095262459776,-1.2706095262459776,-1.2706095262459776,False,False,0.8,0.44878149409262,0.0002778768805154788,9.672871061683342,9.136917925959978,-0.04406585800266519,-0.03188499857802733,-0.03188500260705125,-0.04406586142058827,0.03468088117744402,-0.022360486382421548,-0.02236049041144546,0.03468087775952094,1.0000000000000002,0.3867740145677476,0.017671883109502667,0.25759342230350274,0.38677401456774796,0.017671883109502684,0.2575934223035028,0.9999999999999998,-1.1578411131945177
1,0,0,1,0.06666666666666667,0.0,0.0,0.06666666666666667,1.0,0.0665038123988284,0.06273841867031407,0.06273854183460575,0.06650392856639598,0.16256102824186644,-0.014156828892072173,0.14833519757452826,0.14833519918598223,0.14898835785893164,0.07026936606420024,20,15,0.718134795149681,0.41824239090879844,1.3924962371327094,-0.11930363722628946,1.0,4,-1.0,-1.0,-1.0,-1.0061386948839972,-0.718134795149681,-0.718134795149681,0.0,0.7,[2],[],[],[2],0.18252744281264102,-0.007745037719720702,5.0,0.75,1,-0.014156828892072173,-0.13681607198487067,-0.11930363722628946,-0.11930363722628946,-0.09882916365583339,-0.32927644780604787,-0.3292764460648715,-0.09882916255848095,0.39931637297156863,0.37049649369298676,0.370496494984479,0.39931637367648254,-0.5655469680183045,-0.5655469680183045,-0.5655469680183045,-0.5655469680183045,False,False,0.8,0.3014431837352324,0.0009983751743528253,9.672871061683342,9.136917925959978,-0.03798382282039787,-0.03273000494282777,-0.03273006992469868,-0.03798388832833664,0.0671629855138194,0.23191702390308355,0.23191695892121264,0.06716292000588062,1.0000000000000002,0.3867740145677476,0.017671883109502667,0.25759342230350274,0.38677401456774796,0.017671883109502684,0.2575934223035028,0.9999999999999998,0.28380243005395756
0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.6475216093388324e-08,9.035280802446861e-09,4.718420253805463e-09,6.413701949488154e-08,1.6499780159864e-08,0.37389374646544776,9.000000000000001e-10,9.000000000000001e-10,0.21274206167068557,0.07949971453806223,20,20,0.9162459543081652,0.846124662823331,1.0914100032835348,0.09151380870835535,1.0,5,-1.0,-1.0,-1.0,-0.9361115270050104,-0.9162459543081652,-0.9162459543081652,0.0,0.7,[],[],[],[],0.024863312545859592,0.10437802048647032,5.0,1.0,1,0.37389374646544776,0.4928403966880567,0.09151380870835535,0.09151380870835535,0.0,0.0,0.0,0.0,0.10325613764427982,0.0,0.0,0.11011287854515373,7.995593416925942e-09,7.995593416925942e-09,7.995593416925942e-09,7.995593416925942e-09,True,True,0.8,0.08701255368793512,1.9142164840311706,9.27726893593738,9.96289005439216,2.257795189454978e-09,5.631927868507666e-10,3.776030217668805e-10,4.9153747650046105e-09,0.2823799400148876,0.11108454439913992,0.11108454421355013,0.28237994267246713,1.0000000000000004,0.7413546208808419,-0.05611382138916752,0.21645147042490742,0.7413546208808427,-0.05611382138916754,0.2164514704249075,0.9999999999999999,0.7609554879475473
0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.202125114115176e-07,3.538543569031862e-07,5.883867534766447e-09,4.151806751233429e-08,4.202134752084645e-07,0.14320866598458826,9.000000000000001e-10,9.000000000000001e-10,0.21274206167068557,0.07949971453806223,20,20,0.6092699650086707,0.6702959908814429,1.6413085453601324,-0.32457831343023885,1.0,5,-1.0,-1.0,-1.0,-0.6349934605344968,-0.6092699650086707,-0.6092699650086707,0.0,0.7,[],[],[],[],0.12807602011292046,0.02946304886751365,5.0,1.0,1,0.14320866598458826,0.2608578040634923,-0.32457831343023885,-0.32457831343023885,-0.10513841340519192,-0.09076095868735523,0.0,0.0,0.16332588151448105,0.14387234283713626,0.0,0.10691419419157386,-7.534031247779496e-08,-7.534031247779496e-08,-7.534031247779496e-08,-7.534031247779496e-08,True,True,0.8,0.2147585916174847,0.025037504852570905,9.27726893593738,9.96289005439216,-3.524321454692211e-08,-5.974660085450353e-08,-3.073292603948057e-10,-7.199425773181184e-09,0.4677869441716125,0.19451101222653533,0.19451107166580694,0.4677869722154013,1.0000000000000004,0.7413546208808419,-0.05611382138916752,0.21645147042490742,0.7413546208808427,-0.05611382138916754,0.2164514704249075,0.9999999999999999,-0.08552380498944712
1,0,0,1,0.05,0.0,0.0,0.05,1.0,0.01662813697894649,0.00644794193426729,0.00644794193486569,0.016628136968009355,0.0840001163901344,-0.022591045457605156,0.08233786865206992,0.0823378686656713,0.21274206167068557,0.07949971453806223,20,20,-0.3940029016935038,0.27272300260405746,-2.5380523739845535,0.9338064665654463,1.1806790002763257,5,-1.0,-1.0,-1.0,-0.018653745100952634,0.3940029016935038,0.3940029016935038,0.0,0.7,[5],[],[],[5],0.49086138899762893,-0.005448358428238302,5.0,1.0,1,-0.022591045457605156,-0.24964753997868508,0.9338064665654463,0.9338064665654463,-0.08843103763353621,-0.11304618612067191,-0.11304618612014278,-0.08843103774015204,0.25628827460444326,0.14517031484479131,0.1451703148451481,0.2562882746127286,0.011605471721618212,0.011605471721618212,0.011605471721618212,0.011605471721618212,False,False,0.8,0.322868737918073,0.00037880536186760827,9.27726893593738,9.96289005439216,-0.011229771071014442,-0.0023876057323054677,-0.002387605734610677,-0.01122977106097233,-0.9676272830940659,-0.6299142281987802,-0.6299142282010854,-0.9676272830840238,1.0000000000000004,0.7413546208808419,-0.05611382138916752,0.21645147042490742,0.7413546208808427,-0.05611382138916754,0.2164514704249075,0.9999999999999999,-1.2931795900200282
